Loading dataset...
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/raw/cifar-10-python.tar.gz
100% 170498071/170498071 [00:06<00:00, 24857119.72it/s]
Extracting ./data/raw/cifar-10-python.tar.gz to ./data/raw
Creating retain/forget splits...
  Retain set size: 45000
  Forget set size: 5000
  Retain train: 40500, Retain val: 4500
  Forget train: 4500, Forget val: 500
Creating data loaders...
Data loaders created. Training will start now...
Configuration: epochs=5, batch_size=32, device=cuda
Running fine-tuning unlearning...
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)

[Fine-tune 1/5] Starting epoch...
Epoch: [2][379/1266]	Loss 1.3052 (1.3716)	Accuracy 62.500 (50.387)	Time 0.78
Epoch: [2][399/1266]	Loss 1.2053 (1.3714)	Accuracy 59.375 (50.430)	Time 0.77
Epoch: [2][419/1266]	Loss 1.5486 (1.3712)	Accuracy 46.875 (50.499)	Time 0.77
Epoch: [2][439/1266]	Loss 1.3580 (1.3723)	Accuracy 43.750 (50.419)	Time 0.77
Epoch: [2][459/1266]	Loss 1.5284 (1.3748)	Accuracy 46.875 (50.217)	Time 0.77
Epoch: [2][479/1266]	Loss 1.1739 (1.3735)	Accuracy 59.375 (50.299)	Time 0.77
Epoch: [2][499/1266]	Loss 1.4213 (1.3755)	Accuracy 46.875 (50.219)	Time 0.77
Epoch: [2][519/1266]	Loss 1.9950 (1.3748)	Accuracy 21.875 (50.228)	Time 0.78
Epoch: [2][539/1266]	Loss 1.5235 (1.3761)	Accuracy 46.875 (50.098)	Time 0.77
Epoch: [2][559/1266]	Loss 1.3032 (1.3784)	Accuracy 56.250 (50.128)	Time 0.77
Epoch: [2][579/1266]	Loss 1.2175 (1.3777)	Accuracy 53.125 (50.172)	Time 0.78
Epoch: [2][599/1266]	Loss 1.2911 (1.3772)	Accuracy 62.500 (50.219)	Time 0.78
Epoch: [2][619/1266]	Loss 1.5985 (1.3758)	Accuracy 43.750 (50.287)	Time 0.77
Epoch: [2][639/1266]	Loss 1.4134 (1.3764)	Accuracy 37.500 (50.259)	Time 0.84
Epoch: [2][659/1266]	Loss 1.1042 (1.3753)	Accuracy 68.750 (50.294)	Time 0.84
Epoch: [2][679/1266]	Loss 1.3317 (1.3752)	Accuracy 40.625 (50.290)	Time 0.82
Epoch: [2][699/1266]	Loss 1.2118 (1.3765)	Accuracy 62.500 (50.268)	Time 0.77
Epoch: [2][719/1266]	Loss 1.3929 (1.3741)	Accuracy 46.875 (50.360)	Time 0.79
Epoch: [2][739/1266]	Loss 1.0220 (1.3742)	Accuracy 62.500 (50.342)	Time 0.79
Epoch: [2][759/1266]	Loss 1.7037 (1.3743)	Accuracy 31.250 (50.296)	Time 0.78
Epoch: [2][779/1266]	Loss 1.2926 (1.3741)	Accuracy 50.000 (50.252)	Time 0.77
Epoch: [2][799/1266]	Loss 1.2912 (1.3731)	Accuracy 53.125 (50.289)	Time 0.78
Epoch: [2][819/1266]	Loss 1.5419 (1.3719)	Accuracy 34.375 (50.301)	Time 0.78
Epoch: [2][839/1266]	Loss 1.0488 (1.3700)	Accuracy 62.500 (50.365)	Time 0.78
Epoch: [2][859/1266]	Loss 1.2989 (1.3691)	Accuracy 56.250 (50.356)	Time 0.77
Epoch: [2][879/1266]	Loss 1.1519 (1.3687)	Accuracy 65.625 (50.369)	Time 0.78
Epoch: [2][899/1266]	Loss 1.6575 (1.3675)	Accuracy 34.375 (50.382)	Time 0.78
Epoch: [2][919/1266]	Loss 1.5395 (1.3685)	Accuracy 50.000 (50.367)	Time 0.78
Epoch: [2][939/1266]	Loss 1.5964 (1.3686)	Accuracy 40.625 (50.386)	Time 0.83
Epoch: [2][959/1266]	Loss 1.2492 (1.3695)	Accuracy 46.875 (50.355)	Time 0.84
Epoch: [2][979/1266]	Loss 1.3551 (1.3695)	Accuracy 53.125 (50.344)	Time 0.84
Epoch: [2][999/1266]	Loss 1.1117 (1.3678)	Accuracy 62.500 (50.381)	Time 0.78
Epoch: [2][1019/1266]	Loss 0.9738 (1.3659)	Accuracy 68.750 (50.478)	Time 0.78
Epoch: [2][1039/1266]	Loss 1.5030 (1.3654)	Accuracy 37.500 (50.442)	Time 0.77
Epoch: [2][1059/1266]	Loss 1.4614 (1.3647)	Accuracy 43.750 (50.489)	Time 0.78
Epoch: [2][1079/1266]	Loss 1.5608 (1.3653)	Accuracy 46.875 (50.512)	Time 0.77
Epoch: [2][1099/1266]	Loss 1.4316 (1.3638)	Accuracy 40.625 (50.537)	Time 0.77
Epoch: [2][1119/1266]	Loss 1.5853 (1.3632)	Accuracy 40.625 (50.578)	Time 0.77
Epoch: [2][1139/1266]	Loss 1.4139 (1.3627)	Accuracy 50.000 (50.611)	Time 0.80
Epoch: [2][1159/1266]	Loss 1.0896 (1.3623)	Accuracy 62.500 (50.633)	Time 0.79
Epoch: [2][1179/1266]	Loss 1.1412 (1.3617)	Accuracy 53.125 (50.675)	Time 0.78
Epoch: [2][1199/1266]	Loss 1.4864 (1.3608)	Accuracy 43.750 (50.690)	Time 0.78
Epoch: [2][1219/1266]	Loss 1.4649 (1.3603)	Accuracy 56.250 (50.738)	Time 0.79
Epoch: [2][1239/1266]	Loss 1.5221 (1.3605)	Accuracy 50.000 (50.716)	Time 0.83
Epoch: [2][1259/1266]	Loss 1.1638 (1.3593)	Accuracy 59.375 (50.781)	Time 0.84
train_accuracy 50.780
   tr_acc: 0.5511
   tf_acc: 0.5447
   vr_acc: 0.5378
   vf_acc: 0.4960

[Fine-tune 3/5] Starting epoch...
Epoch: [3][19/1266]	Loss 1.4957 (1.2847)	Accuracy 50.000 (54.219)	Time 0.78
Epoch: [3][39/1266]	Loss 1.1557 (1.3209)	Accuracy 65.625 (52.812)	Time 0.77
Epoch: [3][59/1266]	Loss 1.2217 (1.3013)	Accuracy 62.500 (53.073)	Time 0.76
Epoch: [3][79/1266]	Loss 1.1053 (1.3017)	Accuracy 43.750 (52.812)	Time 0.77
Epoch: [3][99/1266]	Loss 1.2009 (1.3055)	Accuracy 56.250 (52.656)	Time 0.78
Epoch: [3][119/1266]	Loss 1.1203 (1.2958)	Accuracy 68.750 (53.125)	Time 0.77
Epoch: [3][139/1266]	Loss 1.2646 (1.2932)	Accuracy 50.000 (53.036)	Time 0.77
Epoch: [3][159/1266]	Loss 1.2536 (1.2894)	Accuracy 56.250 (53.262)	Time 0.77
Epoch: [3][179/1266]	Loss 1.2590 (1.2846)	Accuracy 62.500 (53.385)	Time 0.78
Epoch: [3][199/1266]	Loss 1.2646 (1.2873)	Accuracy 46.875 (53.234)	Time 0.77
Epoch: [3][219/1266]	Loss 1.2089 (1.2879)	Accuracy 53.125 (53.267)	Time 0.77
Epoch: [3][239/1266]	Loss 1.2247 (1.2833)	Accuracy 59.375 (53.490)	Time 0.77
Epoch: [3][259/1266]	Loss 1.5754 (1.2843)	Accuracy 50.000 (53.594)	Time 0.80
Epoch: [3][279/1266]	Loss 1.1920 (1.2862)	Accuracy 56.250 (53.549)	Time 0.81
Epoch: [3][299/1266]	Loss 1.4959 (1.2873)	Accuracy 53.125 (53.427)	Time 0.85
Epoch: [3][319/1266]	Loss 1.2180 (1.2903)	Accuracy 56.250 (53.320)	Time 0.77
Epoch: [3][339/1266]	Loss 1.1717 (1.2910)	Accuracy 59.375 (53.373)	Time 0.78
Epoch: [3][359/1266]	Loss 1.2007 (1.2881)	Accuracy 65.625 (53.542)	Time 0.77
Epoch: [3][379/1266]	Loss 1.0694 (1.2886)	Accuracy 65.625 (53.487)	Time 0.77
Epoch: [3][399/1266]	Loss 1.1799 (1.2857)	Accuracy 59.375 (53.578)	Time 0.77
Epoch: [3][419/1266]	Loss 1.0429 (1.2831)	Accuracy 56.250 (53.698)	Time 0.77
Epoch: [3][439/1266]	Loss 1.1331 (1.2841)	Accuracy 68.750 (53.636)	Time 0.77
Epoch: [3][459/1266]	Loss 1.4411 (1.2870)	Accuracy 50.000 (53.533)	Time 0.78
Epoch: [3][479/1266]	Loss 1.3433 (1.2876)	Accuracy 53.125 (53.496)	Time 0.77
Epoch: [3][499/1266]	Loss 1.5191 (1.2874)	Accuracy 43.750 (53.487)	Time 0.78
Epoch: [3][519/1266]	Loss 1.1414 (1.2865)	Accuracy 65.625 (53.522)	Time 0.77
Epoch: [3][539/1266]	Loss 1.3148 (1.2818)	Accuracy 53.125 (53.681)	Time 0.79
Epoch: [3][559/1266]	Loss 1.3101 (1.2810)	Accuracy 46.875 (53.689)	Time 0.78
Epoch: [3][579/1266]	Loss 1.2549 (1.2797)	Accuracy 59.375 (53.712)	Time 0.82
Epoch: [3][599/1266]	Loss 1.3978 (1.2771)	Accuracy 46.875 (53.865)	Time 0.84
Epoch: [3][619/1266]	Loss 1.2939 (1.2761)	Accuracy 50.000 (53.886)	Time 0.81
